Table,Field,DataType,Constraints,Description
core_user,id,INT,PK,Unique identifier for the user
core_user,username,VARCHAR(150),UNIQUE NOT NULL,Unique username for login and display
core_user,email,VARCHAR(254),UNIQUE NOT NULL,User's email address (used for authentication)
core_user,first_name,VARCHAR(255),,User's first name
core_user,middle_name,VARCHAR(100),,User's middle name (optional)
core_user,last_name,VARCHAR(100),,User's last name
core_user,city,VARCHAR(100),DEFAULT 'N/A',User's city of residence
core_user,country,VARCHAR(100),DEFAULT 'N/A',User's country of residence
core_user,contact_no,VARCHAR(20),DEFAULT 'N/A',User's contact phone number
core_user,birthday,DATE,,User's date of birth
core_user,is_deleted,BOOLEAN,DEFAULT FALSE,Flag indicating if the user account is soft-deleted
core_user,profile_picture,VARCHAR(100),DEFAULT 'static/images/default-pic-min.jpg',Path to the user's profile picture
core_user,password,VARCHAR(128),NOT NULL,Hashed password for authentication
core_user,last_login,TIMESTAMP,,Timestamp of the last successful login
core_user,is_superuser,BOOLEAN,DEFAULT FALSE,Grants all permissions without explicitly assigning them
core_user,is_staff,BOOLEAN,DEFAULT FALSE,Designates whether the user can log into the admin site
core_user,is_active,BOOLEAN,DEFAULT TRUE,Designates whether this user account should be treated as active
core_user,date_joined,TIMESTAMP,DEFAULT CURRENT_TIMESTAMP,Timestamp when the account was created
,,,,
core_artist,user_id_id,INT,PK FK,Link to the core_user table (One-to-One)
core_artist,artist_types,TEXT[],,List of art forms the user practices (e.g. 'Visual', 'Literary')
,,,,
core_userfellow,id,INT,PK,Unique identifier for the follow relationship
core_userfellow,user_id,INT,FK,The user who is following someone
core_userfellow,fellow_user_id,INT,FK,The user being followed
core_userfellow,status,VARCHAR(50),DEFAULT 'pending',Status of the follow request (pending/accepted)
core_userfellow,fellowed_at,TIMESTAMP,DEFAULT CURRENT_TIMESTAMP,Timestamp when the follow request was made
,,,,
core_brushdripwallet,id,INT,PK,Unique identifier for the wallet
core_brushdripwallet,user_id,INT,FK UNIQUE,The user who owns this wallet
core_brushdripwallet,balance,INT,DEFAULT 0,Current balance of Brush Drips (virtual currency)
core_brushdripwallet,updated_at,TIMESTAMP,DEFAULT CURRENT_TIMESTAMP,Timestamp of the last balance update
,,,,
core_brushdriptransaction,drip_id,UUID,PK,Unique identifier for the transaction
core_brushdriptransaction,amount,INT,DEFAULT 0,Amount of Brush Drips transferred
core_brushdriptransaction,transaction_object_type,VARCHAR(500),NOT NULL,Type of object associated with transaction (e.g. 'post_praise')
core_brushdriptransaction,transaction_object_id,VARCHAR(2000),NOT NULL,ID of the specific object associated with the transaction
core_brushdriptransaction,transacted_at,TIMESTAMP,DEFAULT CURRENT_TIMESTAMP,Timestamp when the transaction occurred
core_brushdriptransaction,transacted_by_id,INT,FK,User who initiated the transaction (sender)
core_brushdriptransaction,transacted_to_id,INT,FK,User who received the transaction (recipient)
,,,,
avatar_avatar,avatar_id,UUID,PK,Unique identifier for the avatar
avatar_avatar,user_id,INT,FK,The user who owns this avatar
avatar_avatar,name,VARCHAR(255),DEFAULT 'My Avatar',Display name for the avatar
avatar_avatar,description,TEXT,,Optional description or backstory for the avatar
avatar_avatar,status,VARCHAR(20),DEFAULT 'draft',Current state of the avatar (draft/active/archived)
avatar_avatar,is_primary,BOOLEAN,DEFAULT FALSE,Indicates if this is the user's currently selected main avatar
avatar_avatar,canvas_json,JSONB,,Raw JSON data representing the avatar's canvas elements
avatar_avatar,rendered_image,VARCHAR(100),,Path to the final rendered image of the avatar
avatar_avatar,thumbnail,VARCHAR(100),,Path to a smaller thumbnail version of the avatar
avatar_avatar,is_deleted,BOOLEAN,DEFAULT FALSE,Flag indicating if the avatar is soft-deleted
avatar_avatar,created_at,TIMESTAMP,DEFAULT CURRENT_TIMESTAMP,Timestamp when the avatar was created
avatar_avatar,updated_at,TIMESTAMP,DEFAULT CURRENT_TIMESTAMP,Timestamp when the avatar was last modified
,,,,
collective_collective,collective_id,UUID,PK,Unique identifier for the collective
collective_collective,title,VARCHAR(100),UNIQUE NOT NULL,Name of the collective
collective_collective,description,VARCHAR(4096),NOT NULL,Detailed description of the collective's purpose
collective_collective,rules,TEXT[],,List of rules for members of the collective
collective_collective,artist_types,TEXT[],,Types of art focused on by this collective
collective_collective,picture,VARCHAR(100),DEFAULT 'static/images/default_600x400.png',Cover image for the collective
collective_collective,created_at,TIMESTAMP,DEFAULT CURRENT_TIMESTAMP,Timestamp when the collective was created
